country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,year
Italy,"Aromas of dark-skinned berry, plum and blue flower come together on this. The simple palate offers morello cherry and a hint of clove alongside soft, not very persistent tannins.",Capostrano,85,19.0,Central Italy,Montepulciano d'Abruzzo,,Kerin O’Keefe,@kerinokeefe,Cantina Valle Tritana 2014 Capostrano  (Montepulciano d'Abruzzo),Montepulciano,Cantina Valle Tritana,2014.0
US,"Cloudy in color and intense in acidity, this estate wine shows a richness of apple, pear and anise, cradled in oak, that finishes tartly.",The 809 Estate,86,48.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Viszlay Vineyards 2012 The 809 Estate Chardonnay (Russian River Valley),Chardonnay,Viszlay Vineyards,2012.0
US,"At 98 years of age, the vineyard certainly qualifies as old vine, which isn't the case with all wines so labeled. Who really knows what varieties actually constitute these ancient vineyards, but this wine is certainly rich in Zinfandel character. The wild raspberry and cherry fruits have a briary edge, suggesting the tartness of Dr. Pepper cola, the nettles of summer chamomile and the savoriness of green peppercorn. There's little question that the wine will age well, but there's no reason not to drink it now, with proper decanting.",Old Vine Hartford Vineyard,92,55.0,California,Russian River Valley,Sonoma,,,Hartford Court 2011 Old Vine Hartford Vineyard Zinfandel (Russian River Valley),Zinfandel,Hartford Court,2011.0
France,"Long lees aging (six years) has been good to this wine. It has balanced the bone-dry character of the wine, allowing it to fill out. Now, it is a beautifully structured Pinot Noir-dominate wine, with a light tannic character as well as hints of almonds and plenty of citrus fruits. Drink now.",Ultime Extra Brut,90,90.0,Champagne,Champagne,,Roger Voss,@vossroger,Boizel NV Ultime Extra Brut  (Champagne),Champagne Blend,Boizel,
US,"Lots of tannins and zingy acidity in this young 100% Cabernet. That's what the cool climate of Atlas Peak brings. Despite the massive blackberry and cassis richness, the wine is somewhat fierce now, suggesting 4–5 years, and possibly far longer, in a cool cellar.",Limited Release Foss Valley Ranch,88,85.0,California,Atlas Peak,Napa,,,Artesa 2007 Limited Release Foss Valley Ranch Cabernet Sauvignon (Atlas Peak),Cabernet Sauvignon,Artesa,2007.0
US,"Bramble and red fruits combine with spicy incense and oily coffee beans on the nose. Feeling viscous in the mouth, there are prominent flavors of coffee, clove, nutmeg and dried red plum. The tannins are bold, structured and well integrated, giving a crushed velvet feel. The finish is long with evolving flavors.",,88,45.0,Virginia,Virginia,,Carrie Dykes,,James River 2010 Touriga (Virginia),Touriga,James River,2010.0
Austria,"Concentrated grapefruit zestiness dominates the palate while the nose remains rather closed. This is streamlined, refreshing and firmly located in the green citrus spectrum of flavor—eminently refreshing with a clean, brisk finish.",Dornleiten,90,29.0,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Nigl 2014 Dornleiten Riesling (Niederösterreich),Riesling,Nigl,2014.0
Italy,"This has violet, black-skinned berry and herb aromas. The bright, savory palate offers juicy raspberry, star anise and clove flavors alongside velvety tannins and refreshing acidity. Enjoy through 2020.",,88,16.0,Piedmont,Barbera d'Asti,,Kerin O’Keefe,@kerinokeefe,Podere dei Brichhi Astigiani 2015  Barbera d'Asti,Barbera,Podere dei Brichhi Astigiani,2015.0
US,"Firm tannins and ripe-to-overripe fruit marks this dry young wine. The blackberry, raisin, dark chocolate and anise flavors are strong. It's a Rhône-style blend, based on Syrah and containing Cabernet Sauvignon.",Scoprire,86,45.0,California,Santa Ynez Valley,Central Coast,,,Millésimé 2007 Scoprire Red (Santa Ynez Valley),Red Blend,Millésimé,2007.0
Italy,"Blue flower, tilled soil, spicy plum and grilled herb aromas lead the nose on this medium-bodied, elegant wine. The vibrant, savory palate delivers crushed black cherry, mature blackberry, clove and thyme alongside firm but fine-grained tannins. Drink through 2018.",,89,26.0,Central Italy,Montefalco Rosso,,Kerin O’Keefe,@kerinokeefe,Goretti 2012  Montefalco Rosso,Red Blend,Goretti,2012.0
